Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12:00:00 AM,10,0.9001866013847694,-1.1719749236801247,-0.8807732109220944,-0.8732691665594505,0.48792899125830425,-1.2173513364746114,0.7064463454909574
12:15:00 AM,10,0.9001866013847694,-1.149626345230506,-0.9674510461332897,-0.9532903827949687,1.5816004261126306,-1.020893322977677,0.7064463454909574
12:30:00 AM,10,0.9001866013847694,-1.2390206590289803,-0.8807732109220944,-0.8732691665594505,1.2170432811611887,-1.1280522394305503,0.7064463454909574
12:45:00 AM,10,0.9001866013847694,-1.2390206590289803,-0.8807732109220944,-0.8732691665594505,1.5816004261126306,-1.0566129617953015,0.7064463454909574
1:00:00 AM,10,0.9001866013847694,-1.2166720805793618,-0.8807732109220944,-0.9532903827949687,1.3993218536369096,-1.092332600612926,0.7064463454909574
1:15:00 AM,10,0.9001866013847694,-1.1272777667808875,-0.9674510461332897,-0.9532903827949687,1.8550182848262124,-0.9494540453424282,0.7064463454909574
1:30:00 AM,10,0.9001866013847694,-1.149626345230506,-0.8807732109220944,-0.8732691665594505,0.7613468499718858,-1.1459120588393625,0.7064463454909574
1:45:00 AM,10,0.9001866013847694,-1.1719749236801247,-0.8807732109220944,-0.9532903827949687,0.12337184630686211,-1.3066504335186724,0.7064463454909574
2:00:00 AM,10,0.9001866013847694,-1.3060663943778361,-1.054128881344485,-1.0333115990304869,0.6702075637340253,-1.360229891745109,0.7064463454909574
2:15:00 AM,10,0.9001866013847694,-1.1719749236801247,-1.054128881344485,-1.0333115990304869,1.3993218536369096,-1.1101924200217381,0.7064463454909574
2:30:00 AM,10,0.9001866013847694,-1.1272777667808875,-0.8807732109220944,-1.0333115990304869,1.7638789985883518,-0.9673138647512404,0.7064463454909574
2:45:00 AM,10,0.9001866013847694,-1.3507635512770733,-0.8807732109220944,-1.0333115990304869,1.6727397123504912,-1.1637718782481747,0.7064463454909574
3:00:00 AM,10,0.9001866013847694,-1.261369237478599,-0.9674510461332897,-1.0333115990304869,1.3993218536369096,-1.1637718782481747,0.7064463454909574
